portugalia_1_2017,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,20.83,19.93,-0.9,32.28,37.58,5.3
1,32.68,36.6,3.92,36.5,31.7,-4.8
2,25.63,23.2,-2.43,20.64,18.3,-2.34
3,13.4,12.09,-1.31,7.78,7.84,0.06
4,5.26,4.25,-1.01,2.2,1.96,-0.24
,,,,,,
portugalia_1_2018,Meciuri:,81,,,,,
G,PA,A,dA,PD,D,dD
0,23.88,20.99,-2.89,30.19,35.8,5.61
1,34.2,38.27,4.07,36.16,25.93,-10.23
2,24.49,23.46,-1.03,21.65,23.46,1.81
3,11.69,12.35,0.66,8.64,12.35,3.71
4,4.18,3.7,-0.48,2.59,2.47,-0.12
,,,,,,
portugalia_1_2016,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,25.1,28.76,3.66,36.91,35.29,-1.62
1,34.7,29.74,-4.96,36.79,39.22,2.43
2,23.98,23.53,-0.45,18.33,17.97,-0.36
3,11.05,12.75,1.7,6.09,5.56,-0.53
4,3.82,3.92,0.1,1.52,1.96,0.44
,,,,,,
polonia_1_2016,Meciuri:,296,,,,,
G,PA,A,dA,PD,D,dD
0,20.64,21.96,1.32,31.18,34.8,3.62
1,32.57,33.78,1.21,36.34,32.09,-4.25
2,25.69,23.31,-2.38,21.18,19.93,-1.25
3,13.51,11.15,-2.36,8.23,9.12,0.89
4,5.33,6.42,1.09,2.4,3.04,0.64
,,,,,,
polonia_1_2017,Meciuri:,296,,,,,
G,PA,A,dA,PD,D,dD
0,22.77,25.34,2.57,31.39,32.09,0.7
1,33.69,30.41,-3.28,36.37,35.47,-0.9
2,24.93,22.64,-2.29,21.07,19.93,-1.14
3,12.3,15.54,3.24,8.14,10.14,2.0
4,4.55,4.73,0.18,2.36,1.69,-0.67
,,,,,,
polonia_1_2018,Meciuri:,112,,,,,
G,PA,A,dA,PD,D,dD
0,22.51,21.43,-1.08,26.67,24.11,-2.56
1,33.57,33.93,0.36,35.25,43.75,8.5
2,25.03,25.89,0.86,23.29,15.18,-8.11
3,12.44,12.5,0.06,10.26,11.61,1.35
4,4.64,5.36,0.72,3.39,3.57,0.18
,,,,,,
anglia_1_2017,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,21.62,23.68,2.06,31.75,35.79,4.04
1,33.11,33.16,0.05,36.43,33.42,-3.01
2,25.36,23.95,-1.41,20.9,17.11,-3.79
3,12.95,9.21,-3.74,7.99,8.68,0.69
4,4.96,6.05,1.09,2.29,4.21,1.92
,,,,,,
anglia_2_2016,Meciuri:,552,,,,,
G,PA,A,dA,PD,D,dD
0,22.35,21.92,-0.43,32.88,31.52,-1.36
1,33.49,33.7,0.21,36.57,37.32,0.75
2,25.09,25.0,-0.09,20.34,22.83,2.49
3,12.53,13.77,1.24,7.54,5.8,-1.74
4,4.69,3.62,-1.07,2.1,1.99,-0.11
,,,,,,
anglia_3_2016,Meciuri:,552,,,,,
G,PA,A,dA,PD,D,dD
0,23.18,23.01,-0.17,33.12,33.15,0.03
1,33.89,33.33,-0.56,36.6,37.68,1.08
2,24.77,25.0,0.23,20.22,18.12,-2.1
3,12.07,13.22,1.15,7.45,7.79,0.34
4,4.41,3.99,-0.42,2.06,3.08,1.02
,,,,,,
anglia_3_2017,Meciuri:,552,,,,,
G,PA,A,dA,PD,D,dD
0,25.1,24.28,-0.82,31.48,31.34,-0.14
1,34.7,35.14,0.44,36.38,37.86,1.48
2,23.98,24.28,0.3,21.03,18.84,-2.19
3,11.05,11.96,0.91,8.1,8.7,0.6
4,3.82,3.08,-0.74,2.34,2.9,0.56
,,,,,,
anglia_2_2018,Meciuri:,192,,,,,
G,PA,A,dA,PD,D,dD
0,23.14,18.75,-4.39,33.32,33.85,0.53
1,33.87,37.5,3.63,36.62,33.85,-2.77
2,24.78,29.17,4.39,20.12,22.92,2.8
3,12.09,9.9,-2.19,7.37,7.29,-0.08
4,4.42,3.65,-0.77,2.02,2.08,0.06
,,,,,,
anglia_1_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,20.24,21.84,1.6,30.04,34.47,4.43
1,32.34,32.11,-0.23,36.13,32.63,-3.5
2,25.83,22.37,-3.46,21.72,18.95,-2.77
3,13.75,15.0,1.25,8.71,7.89,-0.82
4,5.49,6.32,0.83,2.62,5.0,2.38
,,,,,,
anglia_1_2018,Meciuri:,110,,,,,
G,PA,A,dA,PD,D,dD
0,21.52,28.18,6.66,27.5,28.18,0.68
1,33.06,27.27,-5.79,35.5,30.91,-4.59
2,25.39,21.82,-3.57,22.91,30.0,7.09
3,13.0,12.73,-0.27,9.86,7.27,-2.59
4,5.0,7.27,2.27,3.18,1.82,-1.36
,,,,,,
anglia_2_2017,Meciuri:,552,,,,,
G,PA,A,dA,PD,D,dD
0,24.38,25.54,1.16,31.94,33.33,1.39
1,34.41,32.43,-1.98,36.45,35.33,-1.12
2,24.28,25.0,0.72,20.8,19.38,-1.42
3,11.42,11.59,0.17,7.91,8.51,0.6
4,4.03,3.62,-0.41,2.26,2.72,0.46
,,,,,,
anglia_3_2018,Meciuri:,202,,,,,
G,PA,A,dA,PD,D,dD
0,26.01,24.75,-1.26,27.47,29.7,2.23
1,35.03,36.14,1.11,35.49,31.68,-3.81
2,23.58,22.28,-1.3,22.93,24.75,1.82
3,10.59,13.86,3.27,9.88,8.42,-1.46
4,3.56,2.48,-1.08,3.19,4.46,1.27
,,,,,,
turcia_1_2017,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,18.52,18.95,0.43,27.96,29.41,1.45
1,31.23,29.74,-1.49,35.63,36.27,0.64
2,26.33,26.14,-0.19,22.71,20.26,-2.45
3,14.8,17.32,2.52,9.65,8.82,-0.83
4,6.24,4.58,-1.66,3.07,3.59,0.52
,,,,,,
turcia_1_2016,Meciuri:,306,,,,,
G,PA,A,dA,PD,D,dD
0,22.02,25.49,3.47,30.34,32.35,2.01
1,33.32,30.07,-3.25,36.19,35.95,-0.24
2,25.21,24.18,-1.03,21.58,17.97,-3.61
3,12.72,12.09,-0.63,8.58,9.48,0.9
4,4.81,5.23,0.42,2.56,2.29,-0.27
,,,,,,
turcia_1_2018,Meciuri:,99,,,,,
G,PA,A,dA,PD,D,dD
0,21.98,20.2,-1.78,37.92,39.39,1.47
1,33.3,36.36,3.06,36.77,36.36,-0.41
2,25.23,26.26,1.03,17.83,13.13,-4.7
3,12.74,9.09,-3.65,5.76,10.1,4.34
4,4.83,6.06,1.23,1.4,1.01,-0.39
,,,,,,
brazilia_1_2016,Meciuri:,380,,,,,
G,PA,A,dA,PD,D,dD
0,22.67,20.79,-1.88,40.02,41.05,1.03
1,33.64,35.26,1.62,36.65,33.95,-2.7
