Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Primera Division,25/08/17,Tigre,Velez Sarsfield,0,3
Primera Division,26/08/17,Banfield,Belgrano,2,1
Primera Division,26/08/17,Defensa y Justicia,Gimnasia L.P.,4,4
Primera Division,26/08/17,Colon Santa FE,Rosario Central,1,1
Primera Division,26/08/17,Talleres Cordoba,Lanus,5,2
Primera Division,27/08/17,Independiente,Huracan,3,1
Primera Division,27/08/17,San Martin S.J.,Patronato,2,0
Primera Division,27/08/17,Atl. Tucuman,Godoy Cruz,2,1
Primera Division,27/08/17,San Lorenzo,Racing Club,1,1
Primera Division,27/08/17,Boca Juniors,Olimpo Bahia Blanca,3,0
Primera Division,28/08/17,Temperley,River Plate,0,1
Primera Division,28/08/17,Newells Old Boys,Union de Santa Fe,1,1
Primera Division,29/08/17,Estudiantes L.P.,Arsenal Sarandi,2,1
Primera Division,08/09/17,Arsenal Sarandi,Colon Santa FE,0,1
Primera Division,08/09/17,Velez Sarsfield,Atl. Tucuman,2,0
Primera Division,09/09/17,Olimpo Bahia Blanca,Independiente,1,1
Primera Division,09/09/17,Belgrano,San Martin S.J.,1,0
Primera Division,09/09/17,Estudiantes L.P.,Defensa y Justicia,0,1
Primera Division,09/09/17,Patronato,Argentinos Jrs,2,1
Primera Division,10/09/17,Racing Club,Temperley,4,1
Primera Division,10/09/17,Chacarita Juniors,Tigre,1,1
Primera Division,10/09/17,Godoy Cruz,Talleres Cordoba,2,1
Primera Division,10/09/17,Rosario Central,San Lorenzo,0,0
Primera Division,10/09/17,River Plate,Banfield,3,1
Primera Division,11/09/17,Lanus,Boca Juniors,0,1
Primera Division,11/09/17,Union de Santa Fe,Gimnasia L.P.,1,0
Primera Division,12/09/17,Huracan,Newells Old Boys,1,0
Primera Division,15/09/17,Tigre,Patronato,1,3
Primera Division,16/09/17,Colon Santa FE,Estudiantes L.P.,0,0
Primera Division,16/09/17,Argentinos Jrs,Belgrano,1,2
Primera Division,16/09/17,Defensa y Justicia,Union de Santa Fe,1,3
Primera Division,16/09/17,Newells Old Boys,Olimpo Bahia Blanca,2,0
Primera Division,16/09/17,San Lorenzo,Arsenal Sarandi,1,0
Primera Division,17/09/17,Independiente,Lanus,0,1
Primera Division,17/09/17,Talleres Cordoba,Velez Sarsfield,0,0
Primera Division,17/09/17,Atl. Tucuman,Chacarita Juniors,1,1
Primera Division,17/09/17,Banfield,Racing Club,1,0
Primera Division,17/09/17,Boca Juniors,Godoy Cruz,4,1
Primera Division,18/09/17,San Martin S.J.,River Plate,1,3
Primera Division,18/09/17,Gimnasia L.P.,Huracan,1,3
Primera Division,19/09/17,Temperley,Rosario Central,1,1
Primera Division,22/09/17,Belgrano,Tigre,0,0
Primera Division,23/09/17,Patronato,Atl. Tucuman,2,1
Primera Division,23/09/17,Arsenal Sarandi,Temperley,0,1
Primera Division,23/09/17,Huracan,Union de Santa Fe,0,0
Primera Division,23/09/17,Chacarita Juniors,Talleres Cordoba,0,1
Primera Division,23/09/17,Velez Sarsfield,Boca Juniors,0,4
Primera Division,24/09/17,Godoy Cruz,Independiente,1,0
Primera Division,24/09/17,Colon Santa FE,Defensa y Justicia,3,1
Primera Division,24/09/17,Olimpo Bahia Blanca,Gimnasia L.P.,0,1
Primera Division,24/09/17,Rosario Central,Banfield,0,4
Primera Division,24/09/17,River Plate,Argentinos Jrs,1,1
Primera Division,25/09/17,Racing Club,San Martin S.J.,0,0
Primera Division,25/09/17,Lanus,Newells Old Boys,1,0
Primera Division,26/09/17,Estudiantes L.P.,San Lorenzo,1,3
Primera Division,29/09/17,Defensa y Justicia,Huracan,0,0
Primera Division,29/09/17,Union de Santa Fe,Olimpo Bahia Blanca,2,0
Primera Division,30/09/17,Atl. Tucuman,Belgrano,0,0
Primera Division,30/09/17,San Lorenzo,Colon Santa FE,0,0
Primera Division,30/09/17,Temperley,Estudiantes L.P.,0,3
Primera Division,30/09/17,Gimnasia L.P.,Lanus,1,3
Primera Division,01/10/17,Argentinos Jrs,Racing Club,2,0
Primera Division,01/10/17,Talleres Cordoba,Patronato,1,0
Primera Division,01/10/17,San Martin S.J.,Rosario Central,3,1
Primera Division,01/10/17,Independiente,Velez Sarsfield,1,0
Primera Division,01/10/17,Boca Juniors,Chacarita Juniors,1,0
Primera Division,02/10/17,Tigre,River Plate,1,1
Primera Division,02/10/17,Banfield,Arsenal Sarandi,1,2
Primera Division,03/10/17,Newells Old Boys,Godoy Cruz,0,0
Primera Division,08/10/17,Argentinos Jrs,Chacarita Juniors,1,0
Primera Division,13/10/17,Lanus,Union de Santa Fe,2,1
Primera Division,14/10/17,San Lorenzo,Defensa y Justicia,3,1
