Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Bundesliga,27/07/18,Austria Vienna,Wacker Innsbruck,2,1
Bundesliga,28/07/18,Altach,Mattersburg,2,3
Bundesliga,28/07/18,Sturm Graz,Hartberg,3,2
Bundesliga,29/07/18,Admira,Rapid Vienna,0,3
Bundesliga,29/07/18,Salzburg,LASK Linz,3,1
Bundesliga,29/07/18,St. Polten,AC Wolfsberger,4,3
Bundesliga,04/08/18,Mattersburg,Salzburg,0,2
Bundesliga,04/08/18,Rapid Vienna,Altach,1,1
Bundesliga,04/08/18,Wacker Innsbruck,Sturm Graz,2,3
Bundesliga,05/08/18,AC Wolfsberger,Austria Vienna,1,0
Bundesliga,05/08/18,Hartberg,Admira,0,1
Bundesliga,05/08/18,LASK Linz,St. Polten,0,0
Bundesliga,11/08/18,Altach,Wacker Innsbruck,1,2
Bundesliga,11/08/18,Hartberg,Mattersburg,4,2
Bundesliga,11/08/18,Salzburg,Austria Vienna,2,0
Bundesliga,12/08/18,Admira,LASK Linz,0,1
Bundesliga,12/08/18,Rapid Vienna,AC Wolfsberger,0,0
Bundesliga,12/08/18,St. Polten,Sturm Graz,2,0
Bundesliga,18/08/18,Mattersburg,AC Wolfsberger,0,6
Bundesliga,18/08/18,Salzburg,Hartberg,2,0
Bundesliga,18/08/18,Wacker Innsbruck,St. Polten,0,2
Bundesliga,19/08/18,Austria Vienna,Admira,4,0
Bundesliga,19/08/18,LASK Linz,Rapid Vienna,2,1
Bundesliga,19/08/18,Sturm Graz,Altach,1,1
Bundesliga,25/08/18,AC Wolfsberger,Sturm Graz,1,1
Bundesliga,25/08/18,Altach,Salzburg,2,3
Bundesliga,25/08/18,St. Polten,Austria Vienna,0,0
Bundesliga,26/08/18,Admira,Mattersburg,0,0
Bundesliga,26/08/18,Hartberg,LASK Linz,0,1
Bundesliga,26/08/18,Rapid Vienna,Wacker Innsbruck,2,1
Bundesliga,01/09/18,Altach,St. Polten,1,2
Bundesliga,01/09/18,Austria Vienna,Mattersburg,2,1
Bundesliga,01/09/18,Wacker Innsbruck,Hartberg,2,1
Bundesliga,02/09/18,LASK Linz,AC Wolfsberger,2,0
Bundesliga,02/09/18,Salzburg,Admira,3,1
Bundesliga,02/09/18,Sturm Graz,Rapid Vienna,1,1
Bundesliga,15/09/18,Admira,Sturm Graz,2,3
Bundesliga,15/09/18,Hartberg,Altach,2,1
Bundesliga,15/09/18,St. Polten,Salzburg,1,3
Bundesliga,16/09/18,AC Wolfsberger,Wacker Innsbruck,3,1
Bundesliga,16/09/18,Mattersburg,LASK Linz,1,3
Bundesliga,16/09/18,Rapid Vienna,Austria Vienna,0,1
Bundesliga,22/09/18,Altach,AC Wolfsberger,0,1
Bundesliga,22/09/18,St. Polten,Hartberg,3,0
Bundesliga,22/09/18,Sturm Graz,Mattersburg,1,2
Bundesliga,23/09/18,Austria Vienna,LASK Linz,0,3
Bundesliga,23/09/18,Wacker Innsbruck,Admira,1,3
Bundesliga,23/09/18,Salzburg,Rapid Vienna,2,1
Bundesliga,29/09/18,AC Wolfsberger,Salzburg,1,4
Bundesliga,29/09/18,Admira,Altach,2,4
Bundesliga,29/09/18,Rapid Vienna,St. Polten,0,2
Bundesliga,30/09/18,Hartberg,Austria Vienna,0,1
Bundesliga,30/09/18,Mattersburg,Wacker Innsbruck,2,1
Bundesliga,30/09/18,LASK Linz,Sturm Graz,0,0
Bundesliga,06/10/18,AC Wolfsberger,Hartberg,3,4
Bundesliga,06/10/18,Altach,Austria Vienna,2,0
Bundesliga,06/10/18,St. Polten,Admira,0,0
Bundesliga,07/10/18,Rapid Vienna,Mattersburg,1,0
Bundesliga,07/10/18,Wacker Innsbruck,LASK Linz,1,0
Bundesliga,07/10/18,Sturm Graz,Salzburg,1,2
Bundesliga,20/10/18,Hartberg,Rapid Vienna,3,0
Bundesliga,20/10/18,LASK Linz,Altach,1,1
Bundesliga,20/10/18,Salzburg,Wacker Innsbruck,1,1
Bundesliga,21/10/18,Admira,AC Wolfsberger,0,0
Bundesliga,21/10/18,Mattersburg,St. Polten,2,0
Bundesliga,21/10/18,Austria Vienna,Sturm Graz,1,1
Bundesliga,27/10/18,Hartberg,Sturm Graz,2,0
Bundesliga,27/10/18,Mattersburg,Altach,1,1
Bundesliga,27/10/18,Wacker Innsbruck,Austria Vienna,0,0
Bundesliga,28/10/18,AC Wolfsberger,St. Polten,1,0
Bundesliga,28/10/18,Rapid Vienna,Admira,2,0
Bundesliga,28/10/18,LASK Linz,Salzburg,3,3
Bundesliga,03/11/18,Admira,Hartberg,2,3
Bundesliga,03/11/18,St. Polten,LASK Linz,2,2
Bundesliga,03/11/18,Sturm Graz,Wacker Innsbruck,1,1
Bundesliga,04/11/18,Austria Vienna,AC Wolfsberger,2,3
Bundesliga,04/11/18,Salzburg,Mattersburg,2,1
Bundesliga,04/11/18,Altach,Rapid Vienna,2,2
