Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Serie A,14/04/18,Cruzeiro,Gremio,0,1
Serie A,14/04/18,Vitoria,Flamengo RJ,2,2
Serie A,15/04/18,Santos,Ceara,2,0
Serie A,15/04/18,America MG,Sport Recife,3,0
Serie A,15/04/18,Corinthians,Fluminense,2,1
Serie A,15/04/18,Internacional,Bahia,2,0
Serie A,15/04/18,Vasco,Atletico-MG,2,1
Serie A,15/04/18,Atletico-PR,Chapecoense-SC,5,1
Serie A,17/04/18,Botafogo RJ,Palmeiras,1,1
Serie A,17/04/18,Sao Paulo,Parana,1,0
Serie A,21/04/18,Bahia,Santos,1,0
Serie A,21/04/18,Flamengo RJ,America MG,2,0
Serie A,22/04/18,Parana,Corinthians,0,4
Serie A,22/04/18,Atletico-MG,Vitoria,2,1
Serie A,22/04/18,Ceara,Sao Paulo,0,0
Serie A,22/04/18,Chapecoense-SC,Vasco,1,1
Serie A,22/04/18,Fluminense,Cruzeiro,1,0
Serie A,22/04/18,Palmeiras,Internacional,1,0
Serie A,22/04/18,Gremio,Atletico-PR,0,0
Serie A,24/04/18,Sport Recife,Botafogo RJ,1,1
Serie A,28/04/18,Botafogo RJ,Gremio,2,1
Serie A,29/04/18,Atletico-MG,Corinthians,1,0
Serie A,29/04/18,Bahia,Atletico-PR,0,0
Serie A,29/04/18,Ceara,Flamengo RJ,0,3
Serie A,29/04/18,Fluminense,Sao Paulo,1,1
Serie A,29/04/18,Palmeiras,Chapecoense-SC,0,0
Serie A,29/04/18,Parana,Sport Recife,1,2
Serie A,29/04/18,Internacional,Cruzeiro,0,0
Serie A,01/05/18,America MG,Vitoria,2,1
Serie A,05/05/18,Sao Paulo,Atletico-MG,2,2
Serie A,05/05/18,Vasco,America MG,4,1
Serie A,06/05/18,Corinthians,Ceara,1,1
Serie A,06/05/18,Atletico-PR,Palmeiras,1,3
Serie A,06/05/18,Cruzeiro,Botafogo RJ,1,0
Serie A,06/05/18,Flamengo RJ,Internacional,2,0
Serie A,06/05/18,Vitoria,Fluminense,1,2
Serie A,06/05/18,Gremio,Santos,5,1
Serie A,06/05/18,Sport Recife,Bahia,2,0
Serie A,08/05/18,Chapecoense-SC,Parana,1,1
Serie A,12/05/18,Gremio,Internacional,0,0
Serie A,13/05/18,Cruzeiro,Sport Recife,2,0
Serie A,13/05/18,Atletico-PR,Atletico-MG,1,2
Serie A,13/05/18,Bahia,Sao Paulo,2,2
Serie A,13/05/18,Chapecoense-SC,Flamengo RJ,3,2
Serie A,13/05/18,Corinthians,Palmeiras,1,0
Serie A,13/05/18,Vasco,Vitoria,2,3
Serie A,13/05/18,Santos,Parana,3,1
Serie A,15/05/18,Botafogo RJ,Fluminense,2,1
Serie A,15/05/18,Ceara,America MG,2,2
Serie A,19/05/18,Atletico-MG,Cruzeiro,1,0
Serie A,19/05/18,Flamengo RJ,Vasco,1,1
Serie A,20/05/18,Palmeiras,Bahia,3,0
Serie A,20/05/18,Vitoria,Ceara,2,1
Serie A,20/05/18,America MG,Botafogo RJ,1,0
Serie A,20/05/18,Parana,Gremio,0,0
Serie A,20/05/18,Sao Paulo,Santos,1,0
Serie A,20/05/18,Sport Recife,Corinthians,1,1
Serie A,20/05/18,Fluminense,Atletico-PR,2,0
Serie A,22/05/18,Internacional,Chapecoense-SC,3,0
Serie A,26/05/18,Fluminense,Chapecoense-SC,3,1
Serie A,26/05/18,Palmeiras,Sport Recife,2,3
Serie A,27/05/18,Atletico-MG,Flamengo RJ,0,1
Serie A,27/05/18,Parana,Atletico-PR,0,0
Serie A,27/05/18,Bahia,Vasco,3,0
Serie A,27/05/18,Botafogo RJ,Vitoria,1,1
Serie A,27/05/18,Internacional,Corinthians,2,1
Serie A,27/05/18,Santos,Cruzeiro,0,1
Serie A,27/05/18,America MG,Sao Paulo,1,3
Serie A,27/05/18,Ceara,Gremio,0,1
Serie A,30/05/18,Sport Recife,Atletico-MG,3,2
Serie A,30/05/18,Vasco,Parana,1,0
Serie A,30/05/18,Vitoria,Internacional,2,3
Serie A,31/05/18,Chapecoense-SC,Ceara,2,0
Serie A,31/05/18,Sao Paulo,Botafogo RJ,3,2
Serie A,31/05/18,Cruzeiro,Palmeiras,1,0
Serie A,31/05/18,Gremio,Fluminense,0,0
Serie A,31/05/18,Flamengo RJ,Bahia,2,0
Serie A,31/05/18,Corinthians,America MG,1,0
Serie A,01/06/18,Atletico-PR,Santos,2,0
Serie A,02/06/18,Atletico-MG,Chapecoense-SC,3,3
Serie A,02/06/18,Internacional,Sport Recife,0,0
Serie A,02/06/18,Vasco,Botafogo RJ,1,2
Serie A,03/06/18,Palmeiras,Sao Paulo,3,1
Serie A,03/06/18,America MG,Atletico-PR,3,1
Serie A,03/06/18,Bahia,Gremio,0,2
Serie A,03/06/18,Flamengo RJ,Corinthians,1,0
Serie A,03/06/18,Santos,Vitoria,5,2
Serie A,03/06/18,Ceara,Cruzeiro,0,1
Serie A,05/06/18,Parana,Fluminense,2,1
Serie A,06/06/18,Sao Paulo,Internacional,0,0
Serie A,06/06/18,Botafogo RJ,Ceara,0,0
Serie A,06/06/18,Vitoria,Chapecoense-SC,1,0
Serie A,07/06/18,Corinthians,Santos,1,1
Serie A,07/06/18,Sport Recife,Atletico-PR,1,0
Serie A,07/06/18,Cruzeiro,Vasco,1,1
Serie A,07/06/18,Gremio,Palmeiras,0,2
Serie A,08/06/18,Fluminense,Flamengo RJ,0,2
Serie A,08/06/18,Parana,Bahia,1,0
Serie A,08/06/18,America MG,Atletico-MG,1,3
Serie A,09/06/18,Atletico-PR,Sao Paulo,0,1
Serie A,09/06/18,Chapecoense-SC,Cruzeiro,2,0
Serie A,09/06/18,Vasco,Sport Recife,3,2
Serie A,10/06/18,Corinthians,Vitoria,0,0
Serie A,10/06/18,Atletico-MG,Fluminense,5,2
Serie A,10/06/18,Bahia,Botafogo RJ,3,3
Serie A,10/06/18,Ceara,Palmeiras,2,2
Serie A,10/06/18,Gremio,America MG,1,0
Serie A,10/06/18,Flamengo RJ,Parana,2,0
Serie A,10/06/18,Santos,Internacional,1,2
Serie A,13/06/18,Sao Paulo,Vitoria,3,0
Serie A,13/06/18,America MG,Chapecoense-SC,0,0
Serie A,13/06/18,Fluminense,Santos,0,1
Serie A,13/06/18,Parana,Cruzeiro,1,1
Serie A,13/06/18,Sport Recife,Gremio,0,0
Serie A,14/06/18,Botafogo RJ,Atletico-PR,2,0
Serie A,14/06/18,Palmeiras,Flamengo RJ,1,1
Serie A,14/06/18,Atletico-MG,Ceara,2,1
Serie A,14/06/18,Bahia,Corinthians,1,0
Serie A,14/06/18,Internacional,Vasco,3,1
Serie A,18/07/18,Ceara,Sport Recife,1,0
Serie A,19/07/18,Vitoria,Parana,1,0
Serie A,19/07/18,Corinthians,Botafogo RJ,2,0
Serie A,19/07/18,Flamengo RJ,Sao Paulo,0,1
Serie A,19/07/18,Gremio,Atletico-MG,2,0
Serie A,19/07/18,Chapecoense-SC,Bahia,1,1
Serie A,19/07/18,Cruzeiro,America MG,3,1
Serie A,20/07/18,Santos,Palmeiras,1,1
Serie A,20/07/18,Vasco,Fluminense,1,1
Serie A,20/07/18,Atletico-PR,Internacional,2,2
Serie A,21/07/18,Flamengo RJ,Botafogo RJ,2,0
Serie A,22/07/18,Sao Paulo,Corinthians,3,1
Serie A,22/07/18,Bahia,Vitoria,4,1
Serie A,22/07/18,Palmeiras,Atletico-MG,3,2
Serie A,22/07/18,Parana,America MG,1,0
Serie A,22/07/18,Sport Recife,Fluminense,1,2
Serie A,22/07/18,Vasco,Gremio,1,0
Serie A,22/07/18,Chapecoense-SC,Santos,0,0
Serie A,22/07/18,Cruzeiro,Atletico-PR,2,1
Serie A,24/07/18,Internacional,Ceara,1,0
Serie A,25/07/18,Fluminense,Palmeiras,1,0
Serie A,26/07/18,Atletico-MG,Parana,2,0
Serie A,26/07/18,Corinthians,Cruzeiro,2,0
Serie A,26/07/18,Santos,Flamengo RJ,1,1
Serie A,26/07/18,Botafogo RJ,Chapecoense-SC,1,0
Serie A,26/07/18,Gremio,Sao Paulo,2,1
Serie A,26/07/18,Vitoria,Sport Recife,1,0
Serie A,27/07/18,America MG,Internacional,2,1
Serie A,28/07/18,Ceara,Fluminense,1,0
Serie A,29/07/18,Palmeiras,Parana,3,0
Serie A,29/07/18,Vasco,Corinthians,1,4
Serie A,29/07/18,Atletico-PR,Vitoria,4,0
Serie A,29/07/18,Cruzeiro,Sao Paulo,0,2
Serie A,29/07/18,Flamengo RJ,Sport Recife,4,1
Serie A,29/07/18,Internacional,Botafogo RJ,3,0
Serie A,29/07/18,Chapecoense-SC,Gremio,1,1
Serie A,29/07/18,Santos,America MG,0,1
Serie A,31/07/18,Bahia,Atletico-MG,2,2
Serie A,04/08/18,Botafogo RJ,Santos,0,0
Serie A,04/08/18,Gremio,Flamengo RJ,2,0
Serie A,05/08/18,Corinthians,Atletico-PR,0,0
Serie A,05/08/18,America MG,Palmeiras,0,0
Serie A,05/08/18,Parana,Ceara,0,1
Serie A,05/08/18,Sao Paulo,Vasco,2,1
Serie A,05/08/18,Vitoria,Cruzeiro,1,1
Serie A,05/08/18,Fluminense,Bahia,1,1
Serie A,05/08/18,Sport Recife,Chapecoense-SC,1,1
Serie A,07/08/18,Atletico-MG,Internacional,0,1
Serie A,08/08/18,Ceara,Santos,1,1
Serie A,11/08/18,Ceara,Atletico-PR,0,0
Serie A,11/08/18,Bahia,America MG,1,0
Serie A,12/08/18,Atletico-MG,Santos,3,1
Serie A,12/08/18,Parana,Botafogo RJ,1,1
Serie A,12/08/18,Chapecoense-SC,Corinthians,2,1
Serie A,12/08/18,Flamengo RJ,Cruzeiro,1,0
Serie A,12/08/18,Sport Recife,Sao Paulo,1,3
Serie A,12/08/18,Gremio,Vitoria,4,0
Serie A,12/08/18,Palmeiras,Vasco,1,0
Serie A,14/08/18,Fluminense,Internacional,0,3
Serie A,18/08/18,Santos,Sport Recife,3,0
Serie A,18/08/18,Corinthians,Gremio,0,1
Serie A,19/08/18,Atletico-PR,Flamengo RJ,3,0
Serie A,19/08/18,Internacional,Parana,1,0
Serie A,19/08/18,Botafogo RJ,Atletico-MG,0,3
Serie A,19/08/18,Cruzeiro,Bahia,1,1
Serie A,19/08/18,Vitoria,Palmeiras,0,3
Serie A,19/08/18,America MG,Fluminense,0,0
Serie A,19/08/18,Sao Paulo,Chapecoense-SC,2,0
Serie A,21/08/18,Vasco,Ceara,1,1
Serie A,22/08/18,Bahia,Internacional,0,1
Serie A,22/08/18,Parana,Sao Paulo,1,1
Serie A,23/08/18,Palmeiras,Botafogo RJ,2,0
Serie A,23/08/18,Sport Recife,America MG,0,2
Serie A,23/08/18,Fluminense,Corinthians,1,0
Serie A,23/08/18,Gremio,Cruzeiro,1,1
Serie A,23/08/18,Flamengo RJ,Vitoria,1,0
Serie A,24/08/18,Atletico-MG,Vasco,0,0
Serie A,25/08/18,Santos,Bahia,2,0
Serie A,25/08/18,Atletico-PR,Gremio,2,1
Serie A,25/08/18,Corinthians,Parana,1,0
Serie A,26/08/18,Botafogo RJ,Sport Recife,2,0
Serie A,26/08/18,Cruzeiro,Fluminense,2,1
Serie A,26/08/18,Sao Paulo,Ceara,1,0
Serie A,26/08/18,America MG,Flamengo RJ,2,2
Serie A,26/08/18,Internacional,Palmeiras,0,0
Serie A,26/08/18,Vitoria,Atletico-MG,1,0
Serie A,26/08/18,Vasco,Chapecoense-SC,3,1
Serie A,29/08/18,Atletico-PR,Vasco,1,0
Serie A,29/08/18,Ceara,Bahia,0,2
Serie A,01/09/18,Gremio,Botafogo RJ,4,0
Serie A,01/09/18,Vitoria,America MG,1,0
Serie A,01/09/18,Vasco,Santos,0,3
Serie A,02/09/18,Corinthians,Atletico-MG,1,1
Serie A,02/09/18,Flamengo RJ,Ceara,0,1
Serie A,02/09/18,Atletico-PR,Bahia,2,0
Serie A,02/09/18,Sao Paulo,Fluminense,1,1
Serie A,02/09/18,Sport Recife,Parana,1,0
Serie A,02/09/18,Chapecoense-SC,Palmeiras,1,2
Serie A,02/09/18,Cruzeiro,Internacional,0,0
Serie A,05/09/18,Bahia,Sport Recife,2,0
Serie A,05/09/18,Botafogo RJ,Cruzeiro,1,1
Serie A,06/09/18,Ceara,Corinthians,2,1
Serie A,06/09/18,Palmeiras,Atletico-PR,2,0
Serie A,06/09/18,Parana,Chapecoense-SC,1,1
Serie A,06/09/18,Atletico-MG,Sao Paulo,1,0
Serie A,06/09/18,Internacional,Flamengo RJ,2,1
Serie A,06/09/18,Fluminense,Vitoria,0,0
Serie A,06/09/18,Santos,Gremio,0,0
Serie A,07/09/18,America MG,Vasco,2,1
Serie A,08/09/18,Sport Recife,Cruzeiro,0,0
Serie A,08/09/18,Sao Paulo,Bahia,1,0
Serie A,09/09/18,Flamengo RJ,Chapecoense-SC,2,0
Serie A,09/09/18,America MG,Ceara,0,0
Serie A,09/09/18,Fluminense,Botafogo RJ,1,0
Serie A,09/09/18,Internacional,Gremio,1,0
Serie A,09/09/18,Palmeiras,Corinthians,1,0
Serie A,09/09/18,Parana,Santos,0,2
Serie A,09/09/18,Vitoria,Vasco,1,0
Serie A,11/09/18,Atletico-MG,Atletico-PR,3,1
Serie A,14/09/18,Chapecoense-SC,Atletico-PR,2,1
Serie A,15/09/18,Ceara,Vitoria,2,0
Serie A,15/09/18,Gremio,Parana,2,0
Serie A,15/09/18,Vasco,Flamengo RJ,1,1
Serie A,16/09/18,Botafogo RJ,America MG,1,0
Serie A,16/09/18,Atletico-PR,Fluminense,3,1
Serie A,16/09/18,Bahia,Palmeiras,1,1
Serie A,16/09/18,Cruzeiro,Atletico-MG,0,0
Serie A,16/09/18,Santos,Sao Paulo,0,0
Serie A,16/09/18,Corinthians,Sport Recife,2,1
Serie A,18/09/18,Chapecoense-SC,Internacional,2,1
Serie A,22/09/18,Sao Paulo,America MG,1,1
Serie A,23/09/18,Gremio,Ceara,3,2
Serie A,23/09/18,Atletico-PR,Parana,3,0
Serie A,23/09/18,Corinthians,Internacional,1,1
Serie A,23/09/18,Flamengo RJ,Atletico-MG,2,1
Serie A,23/09/18,Sport Recife,Palmeiras,0,1
Serie A,23/09/18,Vitoria,Botafogo RJ,3,4
Serie A,23/09/18,Cruzeiro,Santos,2,1
Serie A,25/09/18,Chapecoense-SC,Fluminense,1,2
Serie A,25/09/18,Vasco,Bahia,2,1
Serie A,28/09/18,Santos,Vasco,1,1
Serie A,29/09/18,Fluminense,Gremio,0,1
Serie A,29/09/18,America MG,Corinthians,0,0
Serie A,30/09/18,Bahia,Flamengo RJ,0,0
Serie A,30/09/18,Palmeiras,Cruzeiro,3,1
Serie A,30/09/18,Atletico-MG,Sport Recife,5,2
Serie A,30/09/18,Botafogo RJ,Sao Paulo,2,2
Serie A,30/09/18,Internacional,Vitoria,2,1
Serie A,30/09/18,Santos,Atletico-PR,1,0
Serie A,30/09/18,Ceara,Chapecoense-SC,3,1
Serie A,02/10/18,Parana,Vasco,1,1
Serie A,05/10/18,Sport Recife,Internacional,2,1
Serie A,06/10/18,Corinthians,Flamengo RJ,0,3
Serie A,06/10/18,Vitoria,Santos,0,1
Serie A,06/10/18,Atletico-PR,America MG,4,0
Serie A,06/10/18,Chapecoense-SC,Atletico-MG,1,0
Serie A,06/10/18,Sao Paulo,Palmeiras,0,2
Serie A,07/10/18,Gremio,Bahia,2,2
Serie A,09/10/18,Fluminense,Parana,4,0
Serie A,10/10/18,Botafogo RJ,Vasco,1,1
Serie A,13/10/18,Flamengo RJ,Fluminense,3,0
Serie A,13/10/18,Santos,Corinthians,1,0
Serie A,14/10/18,Bahia,Parana,2,0
Serie A,14/10/18,Chapecoense-SC,Vitoria,0,1
Serie A,14/10/18,Internacional,Sao Paulo,3,1
Serie A,14/10/18,Palmeiras,Gremio,2,0
Serie A,14/10/18,Vasco,Cruzeiro,2,0
Serie A,14/10/18,Atletico-MG,America MG,0,0
Serie A,14/10/18,Atletico-PR,Sport Recife,4,0
Serie A,16/10/18,Ceara,Botafogo RJ,0,0
Serie A,20/10/18,America MG,Gremio,1,1
Serie A,20/10/18,Botafogo RJ,Bahia,0,1
Serie A,20/10/18,Sao Paulo,Atletico-PR,0,0
Serie A,20/10/18,Sport Recife,Vasco,2,1
Serie A,21/10/18,Fluminense,Atletico-MG,1,0
Serie A,21/10/18,Palmeiras,Ceara,2,1
Serie A,21/10/18,Vitoria,Corinthians,2,2
Serie A,21/10/18,Cruzeiro,Chapecoense-SC,3,0
Serie A,21/10/18,Parana,Flamengo RJ,0,4
Serie A,23/10/18,Internacional,Santos,2,2
Serie A,24/10/18,Cruzeiro,Ceara,0,2
Serie A,26/10/18,Vitoria,Sao Paulo,0,1
Serie A,27/10/18,Vasco,Internacional,1,1
Serie A,27/10/18,Gremio,Sport Recife,3,4
Serie A,27/10/18,Santos,Fluminense,3,0
Serie A,27/10/18,Chapecoense-SC,America MG,1,0
Serie A,27/10/18,Corinthians,Bahia,2,1
Serie A,27/10/18,Flamengo RJ,Palmeiras,1,1
Serie A,28/10/18,Atletico-PR,Botafogo RJ,2,1
Serie A,28/10/18,Cruzeiro,Parana,3,1
Serie A,29/10/18,Ceara,Atletico-MG,2,1
Serie A,03/11/18,Atletico-MG,Gremio,0,1
Serie A,03/11/18,Fluminense,Vasco,0,1
Serie A,03/11/18,Palmeiras,Santos,3,2
Serie A,04/11/18,America MG,Cruzeiro,1,2
Serie A,04/11/18,Botafogo RJ,Corinthians,1,0
Serie A,04/11/18,Parana,Vitoria,1,1
Serie A,04/11/18,Sao Paulo,Flamengo RJ,2,2
Serie A,04/11/18,Bahia,Chapecoense-SC,1,0
Serie A,04/11/18,Internacional,Atletico-PR,2,1
Serie A,05/11/18,Sport Recife,Ceara,1,0
