Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Ekstraklasa,20/07/18,Legnica,Pogon Szczecin,1,0
Ekstraklasa,20/07/18,Jagiellonia,Lechia Gdansk,0,1
Ekstraklasa,21/07/18,Slask Wroclaw,Cracovia,3,1
Ekstraklasa,21/07/18,Wisla,Arka Gdynia,0,0
Ekstraklasa,21/07/18,Legia,Zaglebie,1,3
Ekstraklasa,22/07/18,Gornik Z.,Korona Kielce,1,1
Ekstraklasa,22/07/18,Plock,Lech Poznan,1,2
Ekstraklasa,23/07/18,Zaglebie Sosnowiec,Piast Gliwice,1,2
Ekstraklasa,27/07/18,Lechia Gdansk,Slask Wroclaw,1,1
Ekstraklasa,27/07/18,Wisla,Legnica,2,1
Ekstraklasa,28/07/18,Zaglebie,Zaglebie Sosnowiec,2,1
Ekstraklasa,28/07/18,Korona Kielce,Legia,1,2
Ekstraklasa,29/07/18,Gornik Z.,Plock,1,1
Ekstraklasa,29/07/18,Arka Gdynia,Jagiellonia,0,2
Ekstraklasa,29/07/18,Lech Poznan,Cracovia,2,0
Ekstraklasa,30/07/18,Pogon Szczecin,Piast Gliwice,0,2
Ekstraklasa,03/08/18,Plock,Korona Kielce,1,2
Ekstraklasa,03/08/18,Zaglebie Sosnowiec,Pogon Szczecin,3,0
Ekstraklasa,04/08/18,Piast Gliwice,Zaglebie,2,1
Ekstraklasa,04/08/18,Legia,Lechia Gdansk,0,0
Ekstraklasa,05/08/18,Slask Wroclaw,Lech Poznan,0,1
Ekstraklasa,05/08/18,Jagiellonia,Wisla,1,0
Ekstraklasa,05/08/18,Legnica,Gornik Z.,1,3
Ekstraklasa,06/08/18,Cracovia,Arka Gdynia,0,0
Ekstraklasa,10/08/18,Lechia Gdansk,Legnica,2,0
Ekstraklasa,10/08/18,Wisla,Plock,1,1
Ekstraklasa,11/08/18,Pogon Szczecin,Cracovia,1,1
Ekstraklasa,11/08/18,Arka Gdynia,Gornik Z.,1,1
Ekstraklasa,12/08/18,Piast Gliwice,Legia,1,3
Ekstraklasa,12/08/18,Lech Poznan,Zaglebie Sosnowiec,4,0
Ekstraklasa,12/08/18,Zaglebie,Jagiellonia,0,2
Ekstraklasa,13/08/18,Korona Kielce,Slask Wroclaw,2,1
Ekstraklasa,17/08/18,Cracovia,Zaglebie,0,1
Ekstraklasa,17/08/18,Legnica,Korona Kielce,1,1
Ekstraklasa,18/08/18,Plock,Arka Gdynia,1,3
Ekstraklasa,18/08/18,Gornik Z.,Lechia Gdansk,0,2
Ekstraklasa,19/08/18,Legia,Zaglebie Sosnowiec,2,1
Ekstraklasa,19/08/18,Jagiellonia,Piast Gliwice,2,1
Ekstraklasa,19/08/18,Lech Poznan,Wisla,2,5
Ekstraklasa,20/08/18,Slask Wroclaw,Pogon Szczecin,0,0
Ekstraklasa,24/08/18,Piast Gliwice,Cracovia,3,1
Ekstraklasa,24/08/18,Korona Kielce,Arka Gdynia,2,1
Ekstraklasa,25/08/18,Pogon Szczecin,Lechia Gdansk,2,3
Ekstraklasa,25/08/18,Wisla,Gornik Z.,3,0
Ekstraklasa,26/08/18,Jagiellonia,Legnica,2,3
Ekstraklasa,26/08/18,Legia,Plock,1,4
Ekstraklasa,26/08/18,Zaglebie,Lech Poznan,2,1
Ekstraklasa,27/08/18,Zaglebie Sosnowiec,Slask Wroclaw,3,3
Ekstraklasa,31/08/18,Gornik Z.,Pogon Szczecin,1,1
Ekstraklasa,31/08/18,Lechia Gdansk,Korona Kielce,2,0
Ekstraklasa,01/09/18,Arka Gdynia,Zaglebie Sosnowiec,2,2
Ekstraklasa,01/09/18,Slask Wroclaw,Wisla,0,1
Ekstraklasa,01/09/18,Lech Poznan,Piast Gliwice,1,1
Ekstraklasa,02/09/18,Legnica,Zaglebie,2,0
Ekstraklasa,02/09/18,Plock,Jagiellonia,1,1
Ekstraklasa,02/09/18,Cracovia,Legia,0,0
Ekstraklasa,14/09/18,Zaglebie,Slask Wroclaw,4,0
Ekstraklasa,14/09/18,Jagiellonia,Cracovia,3,1
Ekstraklasa,15/09/18,Plock,Legnica,2,2
Ekstraklasa,15/09/18,Piast Gliwice,Arka Gdynia,1,0
Ekstraklasa,15/09/18,Wisla,Lechia Gdansk,5,2
Ekstraklasa,16/09/18,Pogon Szczecin,Korona Kielce,1,1
Ekstraklasa,16/09/18,Legia,Lech Poznan,1,0
Ekstraklasa,17/09/18,Zaglebie Sosnowiec,Gornik Z.,1,1
Ekstraklasa,21/09/18,Pogon Szczecin,Wisla,2,1
Ekstraklasa,21/09/18,Arka Gdynia,Lech Poznan,1,0
Ekstraklasa,22/09/18,Cracovia,Plock,3,1
Ekstraklasa,22/09/18,Lechia Gdansk,Zaglebie,3,3
Ekstraklasa,22/09/18,Legnica,Legia,1,4
Ekstraklasa,23/09/18,Slask Wroclaw,Piast Gliwice,4,1
Ekstraklasa,23/09/18,Gornik Z.,Jagiellonia,1,3
Ekstraklasa,24/09/18,Korona Kielce,Zaglebie Sosnowiec,3,1
Ekstraklasa,28/09/18,Plock,Lechia Gdansk,1,0
