Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Liga 1,14/07/17,CS U. Craiova,Poli Iasi,2,0
Liga 1,15/07/17,Concordia,Poli Timisoara,0,1
Liga 1,15/07/17,FC Juventus Bucuresti,Din. Bucuresti,0,3
Liga 1,16/07/17,Astra,Sepsi,1,0
Liga 1,16/07/17,FC Steaua Bucuresti,Voluntari,2,1
Liga 1,17/07/17,Viitorul Constanta,Gaz Metan Medias,3,0
Liga 1,17/07/17,FC Botosani,CFR Cluj,1,1
Liga 1,21/07/17,Sepsi,FC Juventus Bucuresti,2,1
Liga 1,21/07/17,Poli Timisoara,FC Steaua Bucuresti,0,1
Liga 1,22/07/17,CS U. Craiova,Concordia,1,1
Liga 1,22/07/17,CFR Cluj,Viitorul Constanta,2,0
Liga 1,23/07/17,Poli Iasi,Gaz Metan Medias,0,0
Liga 1,23/07/17,Din. Bucuresti,FC Botosani,0,1
Liga 1,24/07/17,Voluntari,Astra,3,1
Liga 1,28/07/17,FC Botosani,Sepsi,5,1
Liga 1,28/07/17,Concordia,Poli Iasi,0,1
Liga 1,29/07/17,FC Juventus Bucuresti,Voluntari,0,0
Liga 1,29/07/17,Gaz Metan Medias,CFR Cluj,0,3
Liga 1,30/07/17,Viitorul Constanta,Din. Bucuresti,0,1
Liga 1,30/07/17,FC Steaua Bucuresti,CS U. Craiova,1,1
Liga 1,31/07/17,Astra,Poli Timisoara,3,0
Liga 1,04/08/17,Poli Timisoara,FC Juventus Bucuresti,2,1
Liga 1,04/08/17,Voluntari,FC Botosani,1,3
Liga 1,05/08/17,Sepsi,Viitorul Constanta,1,0
Liga 1,05/08/17,Poli Iasi,CFR Cluj,0,2
Liga 1,06/08/17,CS U. Craiova,Astra,1,1
Liga 1,06/08/17,Concordia,FC Steaua Bucuresti,1,2
Liga 1,07/08/17,Din. Bucuresti,Gaz Metan Medias,3,1
Liga 1,08/08/17,FC Botosani,Poli Timisoara,1,0
Liga 1,08/08/17,Viitorul Constanta,Voluntari,0,0
Liga 1,09/08/17,Astra,Concordia,1,0
Liga 1,09/08/17,FC Juventus Bucuresti,CS U. Craiova,0,1
Liga 1,09/08/17,FC Steaua Bucuresti,Poli Iasi,1,1
Liga 1,10/08/17,Gaz Metan Medias,Sepsi,2,1
Liga 1,10/08/17,CFR Cluj,Din. Bucuresti,1,0
Liga 1,11/08/17,Poli Timisoara,Viitorul Constanta,0,0
Liga 1,12/08/17,Concordia,FC Juventus Bucuresti,1,1
Liga 1,12/08/17,FC Steaua Bucuresti,Astra,1,1
Liga 1,13/08/17,CS U. Craiova,FC Botosani,1,0
Liga 1,13/08/17,Poli Iasi,Din. Bucuresti,2,1
Liga 1,14/08/17,Voluntari,Gaz Metan Medias,2,1
Liga 1,14/08/17,Sepsi,CFR Cluj,0,2
Liga 1,18/08/17,Astra,Poli Iasi,0,0
Liga 1,19/08/17,Gaz Metan Medias,Poli Timisoara,0,2
Liga 1,19/08/17,FC Juventus Bucuresti,FC Steaua Bucuresti,1,2
Liga 1,20/08/17,Viitorul Constanta,CS U. Craiova,0,2
Liga 1,20/08/17,CFR Cluj,Voluntari,2,0
Liga 1,21/08/17,FC Botosani,Concordia,2,1
Liga 1,21/08/17,Din. Bucuresti,Sepsi,1,0
Liga 1,25/08/17,Astra,FC Juventus Bucuresti,2,0
Liga 1,25/08/17,CS U. Craiova,Gaz Metan Medias,2,0
Liga 1,26/08/17,Poli Timisoara,CFR Cluj,4,3
Liga 1,26/08/17,Voluntari,Din. Bucuresti,1,3
Liga 1,27/08/17,Concordia,Viitorul Constanta,1,2
Liga 1,27/08/17,FC Steaua Bucuresti,FC Botosani,2,0
Liga 1,28/08/17,Poli Iasi,Sepsi,0,2
Liga 1,08/09/17,FC Botosani,Astra,1,3
Liga 1,09/09/17,FC Juventus Bucuresti,Poli Iasi,2,2
Liga 1,09/09/17,Viitorul Constanta,FC Steaua Bucuresti,1,0
Liga 1,10/09/17,Sepsi,Voluntari,0,3
Liga 1,10/09/17,CFR Cluj,CS U. Craiova,2,1
Liga 1,11/09/17,Gaz Metan Medias,Concordia,1,2
Liga 1,11/09/17,Din. Bucuresti,Poli Timisoara,1,2
Liga 1,15/09/17,FC Juventus Bucuresti,FC Botosani,0,2
Liga 1,15/09/17,Poli Iasi,Voluntari,2,1
Liga 1,16/09/17,Poli Timisoara,Sepsi,0,0
Liga 1,16/09/17,CS U. Craiova,Din. Bucuresti,2,2
Liga 1,17/09/17,Concordia,CFR Cluj,0,1
Liga 1,17/09/17,FC Steaua Bucuresti,Gaz Metan Medias,4,0
Liga 1,18/09/17,Astra,Viitorul Constanta,3,1
Liga 1,19/09/17,Voluntari,Poli Timisoara,1,0
Liga 1,19/09/17,Sepsi,CS U. Craiova,2,3
Liga 1,20/09/17,FC Botosani,Poli Iasi,3,3
Liga 1,21/09/17,Viitorul Constanta,FC Juventus Bucuresti,3,0
Liga 1,21/09/17,Gaz Metan Medias,Astra,0,0
Liga 1,21/09/17,CFR Cluj,FC Steaua Bucuresti,1,1
Liga 1,22/09/17,CS U. Craiova,Voluntari,1,1
Liga 1,23/09/17,Concordia,Sepsi,2,1
Liga 1,24/09/17,FC Juventus Bucuresti,Gaz Metan Medias,1,1
Liga 1,24/09/17,Poli Iasi,Poli Timisoara,1,1
Liga 1,24/09/17,FC Steaua Bucuresti,Din. Bucuresti,1,0
Liga 1,25/09/17,FC Botosani,Viitorul Constanta,1,0
Liga 1,25/09/17,Astra,CFR Cluj,2,3
Liga 1,27/09/17,Din. Bucuresti,Concordia,2,3
Liga 1,29/09/17,Gaz Metan Medias,FC Botosani,1,0
Liga 1,29/09/17,Poli Timisoara,CS U. Craiova,0,2
Liga 1,30/09/17,Viitorul Constanta,Poli Iasi,5,2
Liga 1,30/09/17,Din. Bucuresti,Astra,1,1
Liga 1,01/10/17,CFR Cluj,FC Juventus Bucuresti,2,0
Liga 1,01/10/17,Sepsi,FC Steaua Bucuresti,0,4
Liga 1,02/10/17,Voluntari,Concordia,0,1
Liga 1,13/10/17,Voluntari,FC Steaua Bucuresti,0,0
Liga 1,14/10/17,Gaz Metan Medias,Viitorul Constanta,0,1
Liga 1,14/10/17,Poli Iasi,CS U. Craiova,1,2
Liga 1,15/10/17,Sepsi,Astra,0,0
Liga 1,15/10/17,CFR Cluj,FC Botosani,0,0
Liga 1,16/10/17,Poli Timisoara,Concordia,0,3
Liga 1,16/10/17,Din. Bucuresti,FC Juventus Bucuresti,3,0
Liga 1,20/10/17,Gaz Metan Medias,Poli Iasi,0,2
Liga 1,20/10/17,Concordia,CS U. Craiova,1,2
Liga 1,21/10/17,FC Juventus Bucuresti,Sepsi,2,1
Liga 1,21/10/17,Viitorul Constanta,CFR Cluj,1,0
Liga 1,22/10/17,Astra,Voluntari,2,3
Liga 1,22/10/17,FC Steaua Bucuresti,Poli Timisoara,7,0
Liga 1,23/10/17,FC Botosani,Din. Bucuresti,0,0
Liga 1,27/10/17,Poli Iasi,Concordia,3,1
Liga 1,28/10/17,Voluntari,FC Juventus Bucuresti,0,0
Liga 1,28/10/17,Poli Timisoara,Astra,2,1
Liga 1,29/10/17,CFR Cluj,Gaz Metan Medias,0,0
Liga 1,29/10/17,CS U. Craiova,FC Steaua Bucuresti,2,5
Liga 1,30/10/17,Sepsi,FC Botosani,0,2
Liga 1,30/10/17,Din. Bucuresti,Viitorul Constanta,0,4
Liga 1,03/11/17,FC Botosani,Voluntari,1,0
Liga 1,03/11/17,Astra,CS U. Craiova,2,2
Liga 1,04/11/17,Viitorul Constanta,Sepsi,3,0
Liga 1,04/11/17,Gaz Metan Medias,Din. Bucuresti,0,3
Liga 1,05/11/17,CFR Cluj,Poli Iasi,1,0
Liga 1,05/11/17,FC Steaua Bucuresti,Concordia,2,1
Liga 1,06/11/17,FC Juventus Bucuresti,Poli Timisoara,1,1
Liga 1,17/11/17,Poli Timisoara,FC Botosani,1,1
Liga 1,17/11/17,Poli Iasi,FC Steaua Bucuresti,1,0
Liga 1,18/11/17,Sepsi,Gaz Metan Medias,0,0
Liga 1,18/11/17,CS U. Craiova,FC Juventus Bucuresti,3,1
Liga 1,19/11/17,Concordia,Astra,1,2
Liga 1,19/11/17,Din. Bucuresti,CFR Cluj,0,2
Liga 1,20/11/17,Voluntari,Viitorul Constanta,0,0
Liga 1,24/11/17,FC Juventus Bucuresti,Concordia,0,5
Liga 1,24/11/17,FC Botosani,CS U. Craiova,1,0
Liga 1,25/11/17,Viitorul Constanta,Poli Timisoara,1,1
Liga 1,25/11/17,Din. Bucuresti,Poli Iasi,2,1
Liga 1,26/11/17,Gaz Metan Medias,Voluntari,1,1
Liga 1,26/11/17,Astra,FC Steaua Bucuresti,2,0
Liga 1,27/11/17,CFR Cluj,Sepsi,2,0
Liga 1,01/12/17,Voluntari,CFR Cluj,0,3
Liga 1,02/12/17,Concordia,FC Botosani,3,0
Liga 1,02/12/17,CS U. Craiova,Viitorul Constanta,3,1
Liga 1,03/12/17,Poli Iasi,Astra,1,0
